ORDERNUMBER,QUANTITYORDERED,PRODUCTLINE,PRICEEACH,CUSTOMERNAME,PHONE,STATE,ORDERDATE
10324,47,Classic Cars,100,Vitachrome Inc.,2125551500,NY,28-06-2006 00:00
10336,49,Classic Cars,100,"La Corne D'abondance, Co.",(1) 42.34.2555,,29-06-2006 00:00
10349,38,Classic Cars,100,Muscle Machine Inc,2125557413,NY,30-06-2006 00:00
10358,20,Classic Cars,100,Euro Shopping Channel,(91) 555 94 44,,01-07-2006 00:00
10371,25,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,02-07-2006 00:00
10382,25,Classic Cars,88,Mini Gifts Distributors Ltd.,4155551450,CA,03-07-2006 00:00
10412,41,Classic Cars,100,Euro Shopping Channel,(91) 555 94 44,,04-07-2006 00:00
10425,28,Classic Cars,100,La Rochelle Gifts,40.67.8555,,05-07-2006 00:00
10100,50,Vintage Cars,67.8,Online Diecast Creations Co.,6035558647,NH,06-07-2006 00:00
10110,32,Vintage Cars,50.25,"AV Stores, Co.",(171) 555-1555,,07-07-2006 00:00
10124,42,Vintage Cars,53.88,Signal Gift Stores,7025551838,NV,08-07-2006 00:00
10149,24,Vintage Cars,62.36,Signal Collectibles Ltd.,4155554312,CA,09-07-2006 00:00
10162,27,Vintage Cars,69.62,Corporate Gift Ideas Co.,6505551386,CA,10-07-2006 00:00
10173,26,Vintage Cars,57.51,Rovelli Gifts,035-640555,,11-07-2006 00:00
10182,38,Vintage Cars,61.15,Mini Gifts Distributors Ltd.,4155551450,CA,12-07-2006 00:00
10193,42,Vintage Cars,59.33,"Australian Collectables, Ltd",61-9-3844-6555,Victoria,13-07-2006 00:00
10204,23,Vintage Cars,71.44,Muscle Machine Inc,2125557413,NY,14-07-2006 00:00
10214,21,Vintage Cars,62.96,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,15-07-2006 00:00
10227,28,Vintage Cars,50.85,"Saveley & Henriot, Co.",78.32.5555,,16-07-2006 00:00
10241,33,Vintage Cars,72.65,Mini Caravy,88.60.1555,,17-07-2006 00:00
10280,25,Vintage Cars,62.96,Amica Models & Co.,011-4988555,,18-07-2006 00:00
10288,28,Vintage Cars,61.75,Handji Gifts& Co,+65 224 1555,,19-07-2006 00:00
10303,46,Vintage Cars,49.04,"Iberia Gift Imports, Corp.",(95) 555 82 82,,20-07-2006 00:00
10312,30,Vintage Cars,61.15,Mini Gifts Distributors Ltd.,4155551450,CA,21-07-2006 00:00
10332,38,Vintage Cars,84.25,"AV Stores, Co.",(171) 555-1555,,22-07-2006 00:00
10344,40,Vintage Cars,56.91,Marseille Mini Autos,91.24.4555,,23-07-2006 00:00
10367,45,Vintage Cars,100,Toys4GrownUps.com,6265557265,CA,24-07-2006 00:00
10379,27,Vintage Cars,49.3,Euro Shopping Channel,(91) 555 94 44,,25-07-2006 00:00
10407,42,Vintage Cars,72.65,The Sharp Gifts Warehouse,4085553659,CA,26-07-2006 00:00
10420,36,Vintage Cars,63.57,Souveniers And Things Co.,+61 2 9495 8555,NSW,27-07-2006 00:00
10104,29,Trucks and Buses,100,Euro Shopping Channel,(91) 555 94 44,,28-07-2006 00:00
10114,39,Trucks and Buses,100,"La Corne D'abondance, Co.",(1) 42.34.2555,,29-07-2006 00:00
10127,45,Trucks and Buses,100,Muscle Machine Inc,2125557413,NY,30-07-2006 00:00
10141,47,Trucks and Buses,100,Suominen Souveniers,+358 9 8045 555,,31-07-2006 00:00
10151,49,Trucks and Buses,100,"Oulu Toy Supplies, Inc.",981-443655,,01-08-2006 00:00
10165,46,Trucks and Buses,100,"Dragon Souveniers, Ltd.",+65 221 7555,,02-08-2006 00:00
10175,48,Trucks and Buses,100,"Stylish Desk Decors, Co.",(171) 555-0297,,03-08-2006 00:00
10184,46,Trucks and Buses,100,"Iberia Gift Imports, Corp.",(95) 555 82 82,,04-08-2006 00:00
10195,35,Trucks and Buses,100,Mini Classics,9145554562,NY,05-08-2006 00:00
10207,43,Trucks and Buses,100,Diecast Collectables,6175552555,MA,06-08-2006 00:00
10229,26,Trucks and Buses,100,Mini Gifts Distributors Ltd.,4155551450,CA,07-08-2006 00:00
10246,22,Trucks and Buses,98.18,Euro Shopping Channel,(91) 555 94 44,,08-08-2006 00:00
10259,34,Trucks and Buses,99.41,Handji Gifts& Co,+65 224 1555,,09-08-2006 00:00
10271,50,Trucks and Buses,100,Mini Gifts Distributors Ltd.,4155551450,CA,10-08-2006 00:00
10281,48,Trucks and Buses,100,Diecast Classics Inc.,2155551555,PA,11-08-2006 00:00
10292,41,Trucks and Buses,100,Land of Toys Inc.,2125557818,NY,12-08-2006 00:00
10305,36,Trucks and Buses,100,Marta's Replicas Co.,6175558555,MA,13-08-2006 00:00
10313,29,Trucks and Buses,100,Canadian Gift Exchange Network,(604) 555-3392,BC,14-08-2006 00:00
10324,33,Trucks and Buses,37.48,Vitachrome Inc.,2125551500,NY,15-08-2006 00:00
10334,46,Trucks and Buses,100,"Volvo Model Replicas, Co",0921-12 3555,,16-08-2006 00:00
10349,38,Trucks and Buses,100,Muscle Machine Inc,2125557413,NY,17-08-2006 00:00
10358,20,Trucks and Buses,36.42,Euro Shopping Channel,(91) 555 94 44,,18-08-2006 00:00
10370,22,Trucks and Buses,100,"Anna's Decorations, Ltd",02 9936 8555,NSW,19-08-2006 00:00
10383,27,Trucks and Buses,100,Euro Shopping Channel,(91) 555 94 44,,20-08-2006 00:00
10412,56,Trucks and Buses,98.18,Euro Shopping Channel,(91) 555 94 44,,21-08-2006 00:00
10425,38,Trucks and Buses,99.41,La Rochelle Gifts,40.67.8555,,22-08-2006 00:00
10101,25,Vintage Cars,100,"Blauer See Auto, Co.",+49 69 66 90 2555,,23-08-2006 00:00
10110,33,Vintage Cars,100,"AV Stores, Co.",(171) 555-1555,,24-08-2006 00:00
10124,42,Vintage Cars,100,Signal Gift Stores,7025551838,NV,25-08-2006 00:00
10149,33,Vintage Cars,100,Signal Collectibles Ltd.,4155554312,CA,26-08-2006 00:00
10162,38,Vintage Cars,100,Corporate Gift Ideas Co.,6505551386,CA,27-08-2006 00:00
10173,31,Vintage Cars,100,Rovelli Gifts,035-640555,,28-08-2006 00:00
10182,20,Vintage Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,29-08-2006 00:00
10193,44,Vintage Cars,100,"Australian Collectables, Ltd",61-9-3844-6555,Victoria,30-08-2006 00:00
10204,26,Vintage Cars,100,Muscle Machine Inc,2125557413,NY,31-08-2006 00:00
10214,27,Vintage Cars,100,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,01-09-2006 00:00
10227,46,Vintage Cars,100,"Saveley & Henriot, Co.",78.32.5555,,02-09-2006 00:00
10243,47,Vintage Cars,100,Diecast Collectables,6175552555,MA,03-09-2006 00:00
10280,37,Vintage Cars,100,Amica Models & Co.,011-4988555,,04-09-2006 00:00
10288,31,Vintage Cars,100,Handji Gifts& Co,+65 224 1555,,05-09-2006 00:00
10304,24,Vintage Cars,100,Auto Assoc. & Cie.,30.59.8555,,06-09-2006 00:00
10312,31,Vintage Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,07-09-2006 00:00
10322,50,Vintage Cars,100,Online Diecast Creations Co.,6035558647,NH,08-09-2006 00:00
10332,35,Vintage Cars,64.69,"AV Stores, Co.",(171) 555-1555,,09-09-2006 00:00
10344,30,Vintage Cars,100,Marseille Mini Autos,91.24.4555,,10-09-2006 00:00
10356,29,Vintage Cars,100,Lyon Souveniers,+33 1 46 62 7555,,11-09-2006 00:00
10367,27,Vintage Cars,100,Toys4GrownUps.com,6265557265,CA,12-09-2006 00:00
10380,40,Vintage Cars,100,Euro Shopping Channel,(91) 555 94 44,,13-09-2006 00:00
10390,31,Vintage Cars,98.99,Mini Gifts Distributors Ltd.,4155551450,CA,14-09-2006 00:00
10409,6,Vintage Cars,100,Handji Gifts& Co,+65 224 1555,,15-09-2006 00:00
10420,45,Vintage Cars,100,Souveniers And Things Co.,+61 2 9495 8555,NSW,16-09-2006 00:00
10103,22,Trucks and Buses,54.09,Baane Mini Imports,07-98 9555,,17-09-2006 00:00
10114,45,Trucks and Buses,68.67,"La Corne D'abondance, Co.",(1) 42.34.2555,,18-09-2006 00:00
10126,43,Trucks and Buses,65.02,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,19-09-2006 00:00
10140,46,Trucks and Buses,61.99,Technics Stores Inc.,6505556809,CA,20-09-2006 00:00
10151,39,Trucks and Buses,69.28,"Oulu Toy Supplies, Inc.",981-443655,,21-09-2006 00:00
10165,31,Trucks and Buses,71.1,"Dragon Souveniers, Ltd.",+65 221 7555,,22-09-2006 00:00
10175,41,Trucks and Buses,69.28,"Stylish Desk Decors, Co.",(171) 555-0297,,23-09-2006 00:00
10184,44,Trucks and Buses,60.16,"Iberia Gift Imports, Corp.",(95) 555 82 82,,24-09-2006 00:00
10194,45,Trucks and Buses,70.49,"Saveley & Henriot, Co.",78.32.5555,,25-09-2006 00:00
10207,37,Trucks and Buses,69.89,Diecast Collectables,6175552555,MA,26-09-2006 00:00
10217,35,Trucks and Buses,61.38,Handji Gifts& Co,+65 224 1555,,27-09-2006 00:00
10229,28,Trucks and Buses,59.55,Mini Gifts Distributors Ltd.,4155551450,CA,28-09-2006 00:00
10246,30,Trucks and Buses,61.99,Euro Shopping Channel,(91) 555 94 44,,29-09-2006 00:00
10259,30,Trucks and Buses,49.22,Handji Gifts& Co,+65 224 1555,,30-09-2006 00:00
10271,25,Trucks and Buses,69.28,Mini Gifts Distributors Ltd.,4155551450,CA,01-10-2006 00:00
10281,29,Trucks and Buses,57.73,Diecast Classics Inc.,2155551555,PA,02-10-2006 00:00
10291,26,Trucks and Buses,57.73,Scandinavian Gift Ideas,0695-34 6555,,03-10-2006 00:00
10305,41,Trucks and Buses,53.48,Marta's Replicas Co.,6175558555,MA,04-10-2006 00:00
10313,34,Trucks and Buses,52.87,Canadian Gift Exchange Network,(604) 555-3392,BC,05-10-2006 00:00
10322,35,Trucks and Buses,61.21,Online Diecast Creations Co.,6035558647,NH,06-10-2006 00:00
10334,34,Trucks and Buses,61.38,"Volvo Model Replicas, Co",0921-12 3555,,07-10-2006 00:00
10347,50,Trucks and Buses,100,"Australian Collectors, Co.",03 9520 4555,Victoria,08-10-2006 00:00
10357,41,Trucks and Buses,61.99,Mini Gifts Distributors Ltd.,4155551450,CA,09-10-2006 00:00
10370,22,Trucks and Buses,96.86,"Anna's Decorations, Ltd",02 9936 8555,NSW,10-10-2006 00:00
10381,35,Trucks and Buses,48.62,Corporate Gift Ideas Co.,6505551386,CA,11-10-2006 00:00
10391,44,Trucks and Buses,38.5,"Anna's Decorations, Ltd",02 9936 8555,NSW,12-10-2006 00:00
10412,47,Trucks and Buses,61.99,Euro Shopping Channel,(91) 555 94 44,,13-10-2006 00:00
10425,19,Trucks and Buses,49.22,La Rochelle Gifts,40.67.8555,,14-10-2006 00:00
10106,34,Planes,90.39,Rovelli Gifts,035-640555,,15-10-2006 00:00
10120,29,Planes,71.81,"Australian Collectors, Co.",03 9520 4555,Victoria,16-10-2006 00:00
10133,49,Planes,69.27,Euro Shopping Channel,(91) 555 94 44,,17-10-2006 00:00
10145,30,Planes,85.32,Toys4GrownUps.com,6265557265,CA,18-10-2006 00:00
10168,21,Planes,70.96,Technics Stores Inc.,6505556809,CA,19-10-2006 00:00
10210,50,Planes,76.88,Osaka Souveniers Co.,+81 06 6342 5555,Osaka,20-10-2006 00:00
10223,47,Planes,100,"Australian Collectors, Co.",03 9520 4555,Victoria,21-10-2006 00:00
10235,24,Planes,76.03,"Royal Canadian Collectables, Ltd.",(604) 555-4555,BC,22-10-2006 00:00
10250,27,Planes,98.84,The Sharp Gifts Warehouse,4085553659,CA,23-10-2006 00:00
10263,33,Planes,86.17,Gift Depot Inc.,2035552570,CT,24-10-2006 00:00
10275,35,Planes,90.39,La Rochelle Gifts,40.67.8555,,25-10-2006 00:00
10284,31,Planes,71.81,"Norway Gifts By Mail, Co.",+47 2212 1555,,26-10-2006 00:00
10297,25,Planes,82.79,"Clover Collections, Co.",+353 1862 1555,,27-10-2006 00:00
10308,27,Planes,82.79,Mini Classics,9145554562,NY,28-10-2006 00:00
10318,31,Planes,100,Diecast Classics Inc.,2155551555,PA,29-10-2006 00:00
10327,45,Planes,100,Danish Wholesale Imports,31 12 3555,,30-10-2006 00:00
10339,27,Planes,100,"Tokyo Collectables, Ltd",+81 3 3584 0555,Tokyo,31-10-2006 00:00
10353,27,Planes,100,Gift Ideas Corp.,2035554407,CT,01-11-2006 00:00
10374,42,Planes,69.27,"Australian Gift Network, Co",61-7-3844-6555,Queensland,02-11-2006 00:00
10386,21,Planes,74.77,Euro Shopping Channel,(91) 555 94 44,,03-11-2006 00:00
10398,34,Planes,76.88,Reims Collectables,26.47.1555,,04-11-2006 00:00
10401,42,Planes,76.03,Tekni Collectables Inc.,2015559350,NJ,05-11-2006 00:00
10416,15,Planes,98.84,L'ordine Souveniers,0522-556555,,06-11-2006 00:00
10107,29,Motorcycles,70.87,Land of Toys Inc.,2125557818,NY,07-11-2006 00:00
10120,46,Motorcycles,58.15,"Australian Collectors, Co.",03 9520 4555,Victoria,08-11-2006 00:00
10134,30,Motorcycles,61.78,Lyon Souveniers,+33 1 46 62 7555,,09-11-2006 00:00
10145,30,Motorcycles,49.67,Toys4GrownUps.com,6265557265,CA,10-11-2006 00:00
10159,42,Motorcycles,51.48,Corporate Gift Ideas Co.,6505551386,CA,11-11-2006 00:00
10168,46,Motorcycles,61.18,Technics Stores Inc.,6505556809,CA,12-11-2006 00:00
10180,25,Motorcycles,64.2,Daedalus Designs Imports,20.16.1555,,13-11-2006 00:00
10188,32,Motorcycles,65.42,Herkku Gifts,+47 2267 3215,,14-11-2006 00:00
10201,30,Motorcycles,64.81,Mini Wheels Co.,6505555787,CA,15-11-2006 00:00
10210,40,Motorcycles,49.67,Osaka Souveniers Co.,+81 06 6342 5555,Osaka,16-11-2006 00:00
10223,28,Motorcycles,60.57,"Australian Collectors, Co.",03 9520 4555,Victoria,17-11-2006 00:00
10236,23,Motorcycles,55.72,Motor Mint Distributors Inc.,2155559857,PA,18-11-2006 00:00
10251,29,Motorcycles,61.18,Tekni Collectables Inc.,2015559350,NJ,19-11-2006 00:00
10263,34,Motorcycles,58.75,Gift Depot Inc.,2035552570,CT,20-11-2006 00:00
10275,37,Motorcycles,63.6,La Rochelle Gifts,40.67.8555,,21-11-2006 00:00
10285,20,Motorcycles,49.06,Marta's Replicas Co.,6175558555,MA,22-11-2006 00:00
10298,32,Motorcycles,48.46,Atelier graphique,40.32.2555,,23-11-2006 00:00
10308,34,Motorcycles,52.09,Mini Classics,9145554562,NY,24-11-2006 00:00
10318,42,Motorcycles,52.7,Diecast Classics Inc.,2155551555,PA,25-11-2006 00:00
10329,38,Motorcycles,100,Land of Toys Inc.,2125557818,NY,26-11-2006 00:00
10339,30,Motorcycles,62.16,"Tokyo Collectables, Ltd",+81 3 3584 0555,Tokyo,27-11-2006 00:00
10362,23,Motorcycles,49.67,Technics Stores Inc.,6505556809,CA,28-11-2006 00:00
10374,22,Motorcycles,53.3,"Australian Gift Network, Co",61-7-3844-6555,Queensland,29-11-2006 00:00
10389,39,Motorcycles,100,Scandinavian Gift Ideas,0695-34 6555,,30-11-2006 00:00
10402,55,Motorcycles,55.72,Auto Canal Petit,(1) 47.55.6555,,01-12-2006 00:00
10417,36,Motorcycles,61.18,Euro Shopping Channel,(91) 555 94 44,,02-12-2006 00:00
10101,26,Vintage Cars,100,"Blauer See Auto, Co.",+49 69 66 90 2555,,03-12-2006 00:00
10110,31,Vintage Cars,100,"AV Stores, Co.",(171) 555-1555,,04-12-2006 00:00
10125,34,Vintage Cars,100,"Australian Collectors, Co.",03 9520 4555,Victoria,05-12-2006 00:00
10139,41,Vintage Cars,100,Souveniers And Things Co.,+61 2 9495 8555,NSW,06-12-2006 00:00
10149,23,Vintage Cars,100,Signal Collectibles Ltd.,4155554312,CA,07-12-2006 00:00
10162,48,Vintage Cars,100,Corporate Gift Ideas Co.,6505551386,CA,08-12-2006 00:00
10173,22,Vintage Cars,100,Rovelli Gifts,035-640555,,09-12-2006 00:00
10182,21,Vintage Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,10-12-2006 00:00
10193,22,Vintage Cars,100,"Australian Collectables, Ltd",61-9-3844-6555,Victoria,11-12-2006 00:00
10205,40,Vintage Cars,100,Euro Shopping Channel,(91) 555 94 44,,12-12-2006 00:00
10214,50,Vintage Cars,100,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,13-12-2006 00:00
10227,29,Vintage Cars,100,"Saveley & Henriot, Co.",78.32.5555,,14-12-2006 00:00
10244,43,Vintage Cars,100,Euro Shopping Channel,(91) 555 94 44,,15-12-2006 00:00
10255,24,Vintage Cars,100,Mini Caravy,88.60.1555,,16-12-2006 00:00
10280,22,Vintage Cars,100,Amica Models & Co.,011-4988555,,17-12-2006 00:00
10289,43,Vintage Cars,100,Herkku Gifts,+47 2267 3215,,18-12-2006 00:00
10304,20,Vintage Cars,100,Auto Assoc. & Cie.,30.59.8555,,19-12-2006 00:00
10312,25,Vintage Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,20-12-2006 00:00
10322,36,Vintage Cars,100,Online Diecast Creations Co.,6035558647,NH,21-12-2006 00:00
10332,24,Vintage Cars,52.67,"AV Stores, Co.",(171) 555-1555,,22-12-2006 00:00
10347,21,Vintage Cars,100,"Australian Collectors, Co.",03 9520 4555,Victoria,23-12-2006 00:00
10356,30,Vintage Cars,100,Lyon Souveniers,+33 1 46 62 7555,,24-12-2006 00:00
10367,32,Vintage Cars,94.79,Toys4GrownUps.com,6265557265,CA,25-12-2006 00:00
10380,21,Vintage Cars,47.18,Euro Shopping Channel,(91) 555 94 44,,26-12-2006 00:00
10390,26,Vintage Cars,78.11,Mini Gifts Distributors Ltd.,4155551450,CA,27-12-2006 00:00
10421,35,Vintage Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,28-12-2006 00:00
10109,26,Classic Cars,100,Motor Mint Distributors Inc.,2155559857,PA,29-12-2006 00:00
10123,46,Classic Cars,100,Atelier graphique,40.32.2555,,30-12-2006 00:00
10137,37,Classic Cars,100,Reims Collectables,26.47.1555,,31-12-2006 00:00
10148,27,Classic Cars,100,"Anna's Decorations, Ltd",02 9936 8555,NSW,01-01-2007 00:00
10161,23,Classic Cars,100,Heintze Collectables,86 21 3555,,02-01-2007 00:00
10172,39,Classic Cars,100,Gift Depot Inc.,2035552570,CT,03-01-2007 00:00
10181,27,Classic Cars,100,Herkku Gifts,+47 2267 3215,,04-01-2007 00:00
10192,38,Classic Cars,100,Online Diecast Creations Co.,6035558647,NH,05-01-2007 00:00
10204,27,Classic Cars,100,Muscle Machine Inc,2125557413,NY,06-01-2007 00:00
10212,40,Classic Cars,100,Euro Shopping Channel,(91) 555 94 44,,07-01-2007 00:00
10226,24,Classic Cars,100,Collectable Mini Designs Co.,7605558146,CA,08-01-2007 00:00
10241,44,Classic Cars,100,Mini Caravy,88.60.1555,,09-01-2007 00:00
10253,37,Classic Cars,100,"UK Collectables, Ltd.",(171) 555-2282,,10-01-2007 00:00
10266,20,Classic Cars,100,L'ordine Souveniers,0522-556555,,11-01-2007 00:00
10278,39,Classic Cars,100,Signal Gift Stores,7025551838,NV,12-01-2007 00:00
10287,44,Classic Cars,100,"Vida Sport, Ltd",0897-034555,,13-01-2007 00:00
10301,22,Classic Cars,100,"Norway Gifts By Mail, Co.",+47 2212 1555,,14-01-2007 00:00
10311,43,Classic Cars,100,Euro Shopping Channel,(91) 555 94 44,,15-01-2007 00:00
10321,27,Classic Cars,100,FunGiftIdeas.com,5085552555,MA,16-01-2007 00:00
10331,26,Classic Cars,64.9,Motor Mint Distributors Inc.,2155559857,PA,17-01-2007 00:00
10343,25,Classic Cars,52.32,Reims Collectables,26.47.1555,,18-01-2007 00:00
10366,49,Classic Cars,100,Royale Belge,(071) 23 67 2555,,19-01-2007 00:00
10379,29,Classic Cars,100,Euro Shopping Channel,(91) 555 94 44,,20-01-2007 00:00
10407,41,Classic Cars,100,The Sharp Gifts Warehouse,4085553659,CA,21-01-2007 00:00
10419,55,Classic Cars,100,Salzburg Collectables,6562-9555,,22-01-2007 00:00
10103,27,Vintage Cars,83.07,Baane Mini Imports,07-98 9555,,23-01-2007 00:00
10112,23,Vintage Cars,100,"Volvo Model Replicas, Co",0921-12 3555,,24-01-2007 00:00
10126,31,Vintage Cars,90.17,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,25-01-2007 00:00
10139,46,Vintage Cars,100,Souveniers And Things Co.,+61 2 9495 8555,NSW,26-01-2007 00:00
10150,47,Vintage Cars,91.18,"Dragon Souveniers, Ltd.",+65 221 7555,,27-01-2007 00:00
10163,31,Vintage Cars,100,Classic Legends Inc.,2125558493,NY,28-01-2007 00:00
10174,46,Vintage Cars,100,"Australian Gift Network, Co",61-7-3844-6555,Queensland,29-01-2007 00:00
10183,37,Vintage Cars,89.15,"Classic Gift Ideas, Inc",2155554695,PA,30-01-2007 00:00
10193,28,Vintage Cars,93.21,"Australian Collectables, Ltd",61-9-3844-6555,Victoria,31-01-2007 00:00
10206,37,Vintage Cars,90.17,Canadian Gift Exchange Network,(604) 555-3392,BC,01-02-2007 00:00
10215,49,Vintage Cars,100,West Coast Collectables Co.,3105553722,CA,02-02-2007 00:00
10228,24,Vintage Cars,100,Cambridge Collectables Co.,6175555555,MA,03-02-2007 00:00
10244,30,Vintage Cars,100,Euro Shopping Channel,(91) 555 94 44,,04-02-2007 00:00
10257,50,Vintage Cars,88.14,The Sharp Gifts Warehouse,4085553659,CA,05-02-2007 00:00
10270,31,Vintage Cars,96.24,Souveniers And Things Co.,+61 2 9495 8555,NSW,06-02-2007 00:00
10280,46,Vintage Cars,100,Amica Models & Co.,011-4988555,,07-02-2007 00:00
10291,47,Vintage Cars,100,Scandinavian Gift Ideas,0695-34 6555,,08-02-2007 00:00
10304,46,Vintage Cars,100,Auto Assoc. & Cie.,30.59.8555,,09-02-2007 00:00
10312,37,Vintage Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,10-02-2007 00:00
10322,33,Vintage Cars,100,Online Diecast Creations Co.,6035558647,NH,11-02-2007 00:00
10333,31,Vintage Cars,90.17,Mini Wheels Co.,6505555787,CA,12-02-2007 00:00
10347,48,Vintage Cars,100,"Australian Collectors, Co.",03 9520 4555,Victoria,13-02-2007 00:00
10357,41,Vintage Cars,87.13,Mini Gifts Distributors Ltd.,4155551450,CA,14-02-2007 00:00
10369,42,Vintage Cars,100,Collectables For Less Inc.,6175558555,MA,15-02-2007 00:00
10381,41,Vintage Cars,100,Corporate Gift Ideas Co.,6505551386,CA,16-02-2007 00:00
10391,32,Vintage Cars,45.25,"Anna's Decorations, Ltd",02 9936 8555,NSW,17-02-2007 00:00
10423,10,Vintage Cars,88.14,Petit Auto,(02) 5554 67,,18-02-2007 00:00
10103,35,Vintage Cars,57.46,Baane Mini Imports,07-98 9555,,19-02-2007 00:00
10111,28,Vintage Cars,64.33,Mini Wheels Co.,6505555787,CA,20-02-2007 00:00
10126,46,Vintage Cars,73.7,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,21-02-2007 00:00
10139,20,Vintage Cars,71.2,Souveniers And Things Co.,+61 2 9495 8555,NSW,22-02-2007 00:00
10150,30,Vintage Cars,49.97,"Dragon Souveniers, Ltd.",+65 221 7555,,23-02-2007 00:00
10163,48,Vintage Cars,69.96,Classic Legends Inc.,2125558493,NY,24-02-2007 00:00
10173,28,Vintage Cars,53.72,Rovelli Gifts,035-640555,,25-02-2007 00:00
10183,39,Vintage Cars,68.08,"Classic Gift Ideas, Inc",2155554695,PA,26-02-2007 00:00
10193,24,Vintage Cars,51.84,"Australian Collectables, Ltd",61-9-3844-6555,Victoria,27-02-2007 00:00
10206,28,Vintage Cars,67.46,Canadian Gift Exchange Network,(604) 555-3392,BC,28-02-2007 00:00
10215,31,Vintage Cars,58.71,West Coast Collectables Co.,3105553722,CA,01-03-2007 00:00
10228,45,Vintage Cars,63.71,Cambridge Collectables Co.,6175555555,MA,02-03-2007 00:00
10244,24,Vintage Cars,58.09,Euro Shopping Channel,(91) 555 94 44,,03-03-2007 00:00
10257,49,Vintage Cars,53.72,The Sharp Gifts Warehouse,4085553659,CA,04-03-2007 00:00
10269,32,Vintage Cars,63.08,Salzburg Collectables,6562-9555,,05-03-2007 00:00
10280,43,Vintage Cars,68.71,Amica Models & Co.,011-4988555,,06-03-2007 00:00
10291,37,Vintage Cars,50.59,Scandinavian Gift Ideas,0695-34 6555,,07-03-2007 00:00
10304,24,Vintage Cars,64.96,Auto Assoc. & Cie.,30.59.8555,,08-03-2007 00:00
10312,35,Vintage Cars,53.72,Mini Gifts Distributors Ltd.,4155551450,CA,09-03-2007 00:00
10322,41,Vintage Cars,29.87,Online Diecast Creations Co.,6035558647,NH,10-03-2007 00:00
10332,26,Vintage Cars,100,"AV Stores, Co.",(171) 555-1555,,11-03-2007 00:00
10347,34,Vintage Cars,64.96,"Australian Collectors, Co.",03 9520 4555,Victoria,12-03-2007 00:00
10357,49,Vintage Cars,70.58,Mini Gifts Distributors Ltd.,4155551450,CA,13-03-2007 00:00
10369,28,Vintage Cars,44.21,Collectables For Less Inc.,6175558555,MA,14-03-2007 00:00
10381,40,Vintage Cars,68.08,Corporate Gift Ideas Co.,6505551386,CA,15-03-2007 00:00
10392,37,Vintage Cars,59.96,Mini Auto Werke,7675-3555,,16-03-2007 00:00
10423,31,Vintage Cars,53.72,Petit Auto,(02) 5554 67,,17-03-2007 00:00
10106,41,Ships,83.44,Rovelli Gifts,035-640555,,18-03-2007 00:00
10119,21,Ships,89.46,Salzburg Collectables,6562-9555,,19-03-2007 00:00
10130,40,Ships,96.34,Auto-Moto Classics Inc.,6175558428,MA,20-03-2007 00:00
10143,46,Ships,74.84,Mini Creations Ltd.,5085559555,MA,21-03-2007 00:00
10155,44,Ships,79.14,"Toys of Finland, Co.",90-224 8555,,22-03-2007 00:00
10167,46,Ships,73.12,Scandinavian Gift Ideas,0695-34 6555,,23-03-2007 00:00
10178,41,Ships,81.72,Alpha Cognac,61.77.6555,,24-03-2007 00:00
10186,32,Ships,89.46,"Double Decker Gift Stores, Ltd",(171) 555-7555,,25-03-2007 00:00
10197,46,Ships,87.74,Enaco Distributors,(93) 203 4555,,26-03-2007 00:00
10209,28,Ships,100,"Men 'R' US Retailers, Ltd.",2155554369,CA,27-03-2007 00:00
10222,49,Ships,94.62,Collectable Mini Designs Co.,7605558146,CA,28-03-2007 00:00
10248,21,Ships,73.98,Land of Toys Inc.,2125557818,NY,29-03-2007 00:00
10262,32,Ships,84.3,Euro Shopping Channel,(91) 555 94 44,,30-03-2007 00:00
10273,34,Ships,98.06,Petit Auto,(02) 5554 67,,31-03-2007 00:00
10283,21,Ships,98.06,"Royal Canadian Collectables, Ltd.",(604) 555-4555,BC,01-04-2007 00:00
10296,21,Ships,96.34,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,,02-04-2007 00:00
10307,31,Ships,83.44,"Classic Gift Ideas, Inc",2155554695,PA,03-04-2007 00:00
10316,21,Ships,94.62,giftsbymail.co.uk,(198) 555-8888,Isle of Wight,04-04-2007 00:00
10327,25,Ships,45.86,Danish Wholesale Imports,31 12 3555,,05-04-2007 00:00
10338,28,Ships,82.58,Royale Belge,(071) 23 67 2555,,06-04-2007 00:00
10350,43,Ships,64.97,Euro Shopping Channel,(91) 555 94 44,,07-04-2007 00:00
10373,22,Ships,86.74,"Oulu Toy Supplies, Inc.",981-443655,,08-04-2007 00:00
10386,37,Ships,93.01,Euro Shopping Channel,(91) 555 94 44,,09-04-2007 00:00
